iso3c,region_id,country_name,income_id,gdp
ABW,LCN,Aruba,HIC,35563.3125
AFG,SAS,Afghanistan,LIC,2057.062256
AGO,SSF,Angola,LMC,8036.69043
ALB,ECS,Albania,UMC,13724.05859
AND,ECS,Andorra,HIC,43711.80078
ARE,MEA,United Arab Emirates,HIC,67119.13281
ARG,LCN,Argentina,HIC,23550.09961
ARM,ECS,Armenia,UMC,11019.83887
ASM,EAS,American Samoa,UMC,11113.44238
ATG,LCN,Antigua and Barbuda,HIC,17965.50195
AUS,EAS,Australia,HIC,47784.17969
AUT,ECS,Austria,HIC,56029.61328
AZE,ECS,Azerbaijan,UMC,14853.91016
BDI,SSF,Burundi,LIC,839.7785034
BEL,ECS,Belgium,HIC,51914.91406
BEN,SSF,Benin,LIC,2227.352295
BFA,SSF,Burkina Faso,LIC,1925.331177
BGD,SAS,Bangladesh,LMC,3195.737061
BGR,ECS,Bulgaria,UMC,22279.36133
BHR,MEA,Bahrain,HIC,47937.77734
BHS,LCN,"Bahamas, The",HIC,35400.08203
BIH,ECS,Bosnia and Herzegovina,UMC,12671.00781
BLR,ECS,Belarus,UMC,18307.51953
BLZ,LCN,Belize,UMC,7259.024414
BMU,NAC,Bermuda,HIC,80982.36719
BOL,LCN,Bolivia,LMC,7984.413574
BRA,LCN,Brazil,UMC,14596.24609
BRB,LCN,Barbados,HIC,15444.74609
BRN,EAS,Brunei Darussalam,HIC,60865.98828
BTN,SAS,Bhutan,LMC,6743.016113
BWA,SSF,Botswana,UMC,14126.38965
CAF,SSF,Central African Republic,LIC,822.6104736
CAN,NAC,Canada,HIC,47672.07813
CHE,ECS,Switzerland,HIC,68394.28906
CHI,ECS,Channel Islands,HIC,46672.59375
CHL,LCN,Chile,HIC,20361.71484
CHN,EAS,China,UMC,16092.30078
CIV,SSF,Côte d’Ivoire,LMC,3660.902832
CMR,SSF,Cameroon,LMC,3262.763672
COD,SSF,"Congo, Dem. Rep.",LIC,1055.572998
COG,SSF,"Congo, Rep.",LMC,4899.57959
COL,LCN,Colombia,UMC,12523.00684
COM,SSF,Comoros,LIC,2959.540039
CPV,SSF,Cabo Verde,LMC,6353.783203
CRI,LCN,Costa Rica,UMC,18168.71484
CUB,LCN,Cuba,UMC,12984.71094
CUW,LCN,Curacao,HIC,27503.78906
CYM,LCN,Cayman Islands,HIC,66207.44531
CYP,ECS,Cyprus,HIC,39544.68359
CZE,ECS,Czech Republic,HIC,40836.32813
DEU,ECS,Germany,HIC,53784.78125
DJI,MEA,Djibouti,LMC,6596.775391
DMA,LCN,Dominica,UMC,11708.63965
DNK,ECS,Denmark,HIC,57821.19922
DOM,LCN,Dominican Republic,UMC,15328.35254
DZA,MEA,Algeria,UMC,11826.16504
ECU,LCN,Ecuador,UMC,11896.37695
EGY,MEA,"Egypt, Arab Rep.",LMC,10301.10742
ERI,SSF,Eritrea,LIC,1714.552368
ESP,ECS,Spain,HIC,40985.55859
EST,ECS,Estonia,HIC,36956.28516
ETH,SSF,Ethiopia,LIC,1779.083984
FIN,ECS,Finland,HIC,48814.30859
FJI,EAS,Fiji,UMC,10787.68555
FRA,ECS,France,HIC,46110.18359
FRO,ECS,Faeroe Islands,HIC,44402.87891
FSM,EAS,"Micronesia, Fed. Sts.",LMC,3440.064209
GAB,SSF,Gabon,UMC,18514.65234
GBR,ECS,United Kingdom,HIC,46290.12109
GEO,ECS,Georgia,LMC,12605.13965
GHA,SSF,Ghana,LMC,3092.596924
GIB,ECS,Gibraltar,HIC,43711.80078
GIN,SSF,Guinea,LIC,1622.776855
GMB,SSF,"Gambia, The",LIC,2180.855713
GNB,SSF,Guinea-Bissau,LIC,1800.068604
GNQ,SSF,Equatorial Guinea,UMC,24827.07227
GRC,ECS,Greece,HIC,30465.44922
GRD,LCN,Grenada,UMC,13207.71191
GRL,ECS,Greenland,HIC,43948.5625
GTM,LCN,Guatemala,UMC,8125.364746
GUM,EAS,Guam,HIC,59074.94141
GUY,LCN,Guyana,UMC,9812.089844
HKG,EAS,"Hong Kong SAR, China",HIC,57215.96875
HND,LCN,Honduras,LMC,5395.61377
HRV,ECS,Croatia,HIC,28829.35547
HTI,LCN,Haiti,LIC,2952.618652
HUN,ECS,Hungary,HIC,32643.49023
IDN,EAS,Indonesia,LMC,10531.19824
IMN,ECS,Isle of Man,HIC,44203.62109
IND,SAS,India,LMC,6496.807617
IRL,ECS,Ireland,HIC,83388.71875
IRN,MEA,"Iran, Islamic Rep.",UMC,14535.8623
IRQ,MEA,Iraq,UMC,10310.67969
ISL,ECS,Iceland,HIC,55274.1875
ISR,MEA,Israel,HIC,37687.74609
ITA,ECS,Italy,HIC,42419.72266
JAM,LCN,Jamaica,UMC,9550.810547
JOR,MEA,Jordan,UMC,10413.17578
JPN,EAS,Japan,HIC,41309.95703
KAZ,ECS,Kazakhstan,UMC,22702.58008
KEN,SSF,Kenya,LMC,3329.854492
KGZ,ECS,Kyrgyz Republic,LMC,4805.141113
KHM,EAS,Cambodia,LMC,3364.278809
KIR,EAS,Kiribati,LMC,2249.768555
KNA,LCN,St. Kitts and Nevis,HIC,25569.35742
KOR,EAS,"Korea, Rep.",HIC,42105.28125
KWT,MEA,Kuwait,HIC,58810.30078
LAO,EAS,Lao PDR,LMC,6543.666992
LBN,MEA,Lebanon,UMC,16966.74023
LBR,SSF,Liberia,LIC,1333.422241
LBY,MEA,Libya,UMC,8479.946289
LCA,LCN,St. Lucia,UMC,14029.98242
LIE,ECS,Liechtenstein,HIC,45726.98828
LKA,SAS,Sri Lanka,LMC,12287.47266
LSO,SSF,Lesotho,LMC,1978.608398
LTU,ECS,Lithuania,HIC,37278.30469
LUX,ECS,Luxembourg,HIC,114323.4063
LVA,ECS,Latvia,HIC,30982.17383
MAC,EAS,"Macao SAR, China",HIC,117335.5859
MAF,LCN,St. Martin (French part),HIC,30385.89453
MAR,MEA,Morocco,LMC,6915.103027
MCO,ECS,Monaco,HIC,43711.80078
MDA,ECS,Moldova,LMC,10360.83008
MDG,SSF,Madagascar,LIC,1565.866943
MDV,SAS,Maldives,UMC,17284.60938
